date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-07-18,sz.300295,12.2110226000,12.2894660000,11.7926578000,12.2110226000,12.2031782600,389994,17885599.0700,2,2.921303,1,0.064300,32.966591,10.283722,5.412469,4.060292,0
2012-07-19,sz.300295,12.0933575000,12.6503056400,12.0933575000,12.2345556200,12.2110226000,510436,24262392.3500,2,3.823491,1,0.192700,33.030124,10.303541,5.422900,4.068117,0
2012-07-20,sz.300295,12.2319408400,12.8647176000,12.0279880000,12.6947569000,12.2345556200,749216,35831737.7500,2,5.612105,1,3.761500,34.272548,10.691107,5.626881,4.221138,0
2012-07-23,sz.300295,12.6032396000,12.9248575400,12.4725006000,12.7078308000,12.6947569000,438687,21271322.9800,2,3.286045,1,0.103000,34.307844,10.702118,5.632676,4.225485,0
2012-07-24,sz.300295,12.7601264000,12.8594880400,12.5117223000,12.7339786000,12.7078308000,412655,20093272.5000,2,3.091049,1,0.205800,34.378437,10.724138,5.644266,4.234180,0
2012-07-25,sz.300295,12.6947569000,13.0163748400,12.6293874000,12.7339786000,12.7339786000,364848,17852436.6600,2,2.732944,1,0.000000,34.378437,10.724138,5.644266,4.234180,0
2012-07-26,sz.300295,12.6895273400,12.7601264000,12.3286877000,12.3626798400,12.7339786000,337348,16110400.8100,2,2.526951,1,-2.915800,33.376026,10.411443,5.479690,4.110719,0
2012-07-27,sz.300295,12.3679094000,13.5994707800,12.3025399000,13.5994707800,12.3626798400,1021648,51110964.9500,2,7.652794,1,10.004200,36.715041,11.453028,6.027891,4.521965,0
2012-07-30,sz.300295,13.5968560000,13.5968560000,12.9431610000,13.0555965400,13.5994707800,853966,43212253.2700,2,6.396749,1,-3.999200,35.246721,10.994995,5.786822,4.341121,0
2012-07-31,sz.300295,12.9745383600,13.0922034600,12.5064927400,12.5901657000,13.0555965400,574109,27922638.0200,2,4.300442,1,-3.565000,33.990179,10.603024,5.580522,4.186361,0
2012-08-01,sz.300295,12.5509440000,13.1628025200,12.4986484000,13.1575729600,12.5901657000,644175,31906487.6800,2,4.825281,1,4.506700,35.522031,11.080876,5.832022,4.375029,0
2012-08-02,sz.300295,13.0739000000,13.6988324200,13.0268339600,13.6099299000,13.1575729600,937503,48122368.6400,2,7.022494,1,3.438000,36.743278,11.461836,6.032527,4.525443,0
2012-08-03,sz.300295,13.5445604000,13.7275950000,13.3745997000,13.6962176400,13.6099299000,720732,37422187.5300,2,5.398742,1,0.634000,36.976232,11.534505,6.070773,4.554134,0
2012-08-06,sz.300295,13.5184126000,14.5355620200,13.5184126000,14.3603717600,13.6962176400,899292,48502100.0100,2,6.736270,1,4.849200,38.769276,12.093833,6.365156,4.774972,0
2012-08-07,sz.300295,14.3159205000,14.5355620200,14.0152208000,14.5251029000,14.3603717600,848873,46229206.4000,2,6.358599,1,1.147100,39.214007,12.232565,6.438172,4.829747,0
2012-08-08,sz.300295,13.6726846200,13.8138827400,13.0739000000,13.1784912000,14.5251029000,1719087,87430606.9000,2,12.877056,1,-9.270900,32.635126,10.330127,5.866555,4.376154,0
2012-08-09,sz.300295,13.1314251600,13.3040006400,12.9693088000,13.2621641600,13.1784912000,864056,43546249.8000,2,6.472330,1,0.634900,32.842334,10.395715,5.903803,4.403939,0
2012-08-10,sz.300295,13.2464754800,13.5445604000,13.1549581800,13.3641405800,13.2621641600,619540,31736707.7700,2,4.640749,1,0.768900,33.094867,10.475650,5.949199,4.437802,0
2012-08-13,sz.300295,13.2804676200,13.7171358800,13.2595493800,13.5445604000,13.3641405800,896864,46443033.1600,2,6.718082,1,1.350000,33.541658,10.617075,6.029515,4.497714,0
2012-08-14,sz.300295,13.4687317800,13.9289330600,13.4347396400,13.6962176400,13.5445604000,742467,38908719.4400,2,5.561551,1,1.119700,33.917221,10.735953,6.097027,4.548075,0
2012-08-15,sz.300295,13.6962176400,13.7642019200,13.5053387000,13.6308481400,13.6962176400,348143,18130051.3300,2,2.607813,1,-0.477300,33.755340,10.684712,6.067927,4.526367,0
2012-08-16,sz.300295,13.4922648000,13.7275950000,12.7496672800,12.8124220000,13.6308481400,698794,35252494.8200,2,5.234412,1,-6.004200,31.728595,10.043179,5.703596,4.254594,0
2012-08-17,sz.300295,12.7862742000,13.0608261000,12.7679707400,12.8673323800,12.8124220000,305705,15116634.0300,2,2.289925,1,0.428600,31.864575,10.086221,5.728040,4.272828,0
2012-08-20,sz.300295,12.7810446400,12.9431610000,12.5797065800,12.8150367800,12.8673323800,295253,14356188.8600,2,2.211633,1,-0.406400,31.735070,10.045228,5.704760,4.255463,0
2012-08-21,sz.300295,12.8725619400,13.4661170000,12.7078308000,13.1654173000,12.8150367800,588114,29659202.4800,2,4.405348,1,2.734100,32.602750,10.319878,5.860735,4.371813,0
2012-08-22,sz.300295,13.1471138400,13.2830824000,13.0477522000,13.1784912000,13.1654173000,348269,17519858.4700,2,2.608757,1,0.099300,32.635126,10.330127,5.866555,4.376154,0
2012-08-23,sz.300295,13.0869739000,13.3013858600,13.0477522000,13.2830824000,13.1784912000,225006,11335576.4700,2,1.685438,1,0.793700,32.894135,10.412112,5.913115,4.410886,0
2012-08-24,sz.300295,13.2804676200,13.4190509600,12.7548968400,12.7810446400,13.2830824000,356579,17690958.5600,2,2.671004,1,-3.779500,31.650892,10.018583,5.689628,4.244175,0
2012-08-27,sz.300295,12.5927804800,12.8960949600,12.5927804800,12.6895273400,12.7810446400,137010,6691154.3600,2,1.026292,1,-0.716000,31.424260,9.946846,5.648888,4.213785,0
2012-08-28,sz.300295,12.7705855200,13.2700085000,12.6816830000,13.1261956000,12.6895273400,432872,21699289.8700,2,3.242487,1,3.441200,32.505622,10.289134,5.843275,4.358789,0
2012-08-29,sz.300295,13.0739000000,14.3289944000,12.9849974800,13.6596107200,13.1261956000,845097,43947468.6000,2,6.330315,1,4.063700,33.826567,10.707258,6.080731,4.535919,0
2012-08-30,sz.300295,13.6360777000,13.7249802200,12.8254959000,12.8254959000,13.6596107200,747063,37926635.2300,2,5.595978,1,-6.106436,31.760971,10.053427,5.709416,4.258936,0
2012-08-31,sz.300295,12.8411845800,13.1967946600,12.7810446400,13.0608261000,12.8254959000,315390,15671394.8900,2,2.362472,1,1.834900,32.343741,10.237893,5.814175,4.337081,0
2012-09-03,sz.300295,12.9562349000,13.5445604000,12.8699471600,13.4870352400,13.0608261000,538125,27292047.3200,2,4.030899,1,3.263300,33.399203,10.571983,6.003907,4.478612,0
2012-09-04,sz.300295,13.4739613400,13.5968560000,13.2438607000,13.3327632200,13.4870352400,381768,19647478.0200,2,2.859685,1,-1.143900,33.017165,10.451055,5.935231,4.427383,0
2012-09-05,sz.300295,13.4112066200,13.4112066200,13.1314251600,13.2778528400,13.3327632200,373429,18931398.6200,2,2.797221,1,-0.411800,32.881185,10.408012,5.910787,4.409149,0
2012-09-06,sz.300295,13.2726232800,13.5314865000,13.0739000000,13.3484519000,13.2778528400,301025,15360027.7200,2,2.254869,1,0.531700,33.056016,10.463352,5.942215,4.432593,0
2012-09-07,sz.300295,13.3929031600,13.8844818000,13.3353780000,13.7197506600,13.3484519000,614509,32023933.5800,2,4.603064,1,2.781600,33.975498,10.754400,6.107503,4.555889,0
2012-09-10,sz.300295,13.7275950000,13.7537428000,13.4791909000,13.5837821000,13.7197506600,519399,27028000.9900,2,3.890629,1,-0.991000,33.638786,10.647819,6.046975,4.510738,0
2012-09-11,sz.300295,13.5210273800,13.8531044400,13.4922648000,13.6099299000,13.5837821000,566177,29591209.3800,2,4.241026,1,0.192500,33.703538,10.668315,6.058615,4.519421,0
2012-09-12,sz.300295,13.6256185800,13.7432836800,13.0739000000,13.2700085000,13.6099299000,527257,27091509.4700,2,3.949491,1,-2.497600,32.861759,10.401864,5.907295,4.406544,0
2012-09-13,sz.300295,13.2752380600,13.2804676200,12.7104455800,12.7627411800,13.2700085000,598047,29604838.7600,2,4.479753,1,-3.822700,31.605566,10.004236,5.681480,4.238097,0
2012-09-14,sz.300295,12.7993481000,12.9170132000,12.7078308000,12.8019628800,12.7627411800,230585,11290470.5000,2,1.727228,1,0.307300,31.702694,10.034980,5.698940,4.251121,0
2012-09-17,sz.300295,12.8882506200,12.8882506200,12.3417616000,12.3469911600,12.8019628800,202671,9708005.1700,2,1.518135,1,-3.553900,30.576005,9.678345,5.496404,4.100040,0
2012-09-18,sz.300295,12.2894660000,12.4698858200,12.1848748000,12.2685477600,12.3469911600,195849,9243952.6700,2,1.467034,1,-0.635300,30.381749,9.616856,5.461484,4.073991,0
2012-09-19,sz.300295,12.2711625400,12.4934188400,12.2502443000,12.3731389600,12.2685477600,102893,4867981.9100,2,0.770734,1,0.852500,30.640758,9.698841,5.508044,4.108723,0
2012-09-20,sz.300295,12.3417616000,12.4463528000,12.0802836000,12.0881279400,12.3731389600,202620,9476117.6100,2,1.517753,1,-2.303500,29.934958,9.475432,5.381168,4.014080,0
2012-09-21,sz.300295,12.0959722800,12.1587270000,11.7821986800,11.7821986800,12.0881279400,186583,8546888.4800,2,1.397625,1,-2.530800,29.177357,9.235625,5.244980,3.912490,0
2012-09-24,sz.300295,11.7821986800,11.8527977400,11.6436153400,11.7717395600,11.7821986800,153349,6906649.9800,2,1.148682,1,-0.088800,29.151456,9.227427,5.240324,3.909017,0
2012-09-25,sz.300295,11.7665100000,11.8527977400,11.6802222600,11.6906813800,11.7717395600,138990,6247034.7900,2,1.041124,1,-0.688600,28.950724,9.163888,5.204240,3.882100,0
2012-09-26,sz.300295,11.8658716400,12.1561122200,11.6619188000,11.7142144000,11.6906813800,244260,11141706.9800,2,1.829663,1,0.201300,29.009001,9.182335,5.214716,3.889915,0
2012-09-27,sz.300295,11.7194439600,12.0672097000,11.7194439600,11.9364707000,11.7142144000,225746,10294688.7300,2,1.690981,1,1.897300,29.559395,9.356553,5.313656,3.963719,0
2012-09-28,sz.300295,11.9286263600,12.0802836000,11.8005021400,12.0776688200,11.9364707000,155493,7134421.7500,2,1.164742,1,1.182900,29.909057,9.467233,5.376512,4.010606,0
2012-10-08,sz.300295,12.0279880000,12.1718009000,11.9495446000,12.0358323400,12.0776688200,87242,4006598.9500,2,0.653498,1,-0.346400,29.805454,9.434439,5.357888,3.996714,0
2012-10-09,sz.300295,11.9756924000,12.4306641200,11.9756924000,12.3940572000,12.0358323400,217791,10257044.5700,2,1.631393,1,2.976300,30.692559,9.715238,5.517356,4.115669,0
2012-10-10,sz.300295,12.3940572000,12.3940572000,12.2371704000,12.3156138000,12.3940572000,269563,12701886.3800,2,2.019199,1,-0.632900,30.498303,9.653749,5.482436,4.089620,0
2012-10-11,sz.300295,12.3443763800,12.4202050000,12.0776688200,12.1325792000,12.3156138000,166610,7803818.7100,2,1.248015,1,-1.486200,30.045037,9.510275,5.400956,4.028840,0
2012-10-12,sz.300295,12.2084078200,12.3574502800,11.8005021400,11.9103229000,12.1325792000,255897,11698863.0100,2,1.916831,1,-1.831900,29.494643,9.336057,5.302016,3.955036,0
2012-10-15,sz.300295,11.9887663000,11.9887663000,11.6854518200,11.7665100000,11.9103229000,275265,12386584.1500,2,2.061910,1,-1.207500,29.138506,9.223327,5.237996,3.907281,0
2012-10-16,sz.300295,11.7612804400,11.9024785600,11.6305414400,11.6619188000,11.7665100000,401322,18041337.7900,2,3.006157,1,-0.888900,28.879497,9.141342,5.191436,3.872549,0
2012-10-17,sz.300295,11.6880666000,11.7299030800,11.4605807400,11.6410005600,11.6619188000,328254,14543158.3100,2,2.458831,1,-0.179400,28.827695,9.124945,5.182124,3.865603,0
2012-10-18,sz.300295,11.5834754000,11.8449534000,11.5337945800,11.7717395600,11.6410005600,490662,22087004.0400,2,3.675371,1,1.123100,29.151456,9.227427,5.240324,3.909017,0
